Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2cyfSwcJRd5ikvj34eokdN,"Coloring Outside The Lines","Connect The Dots","MisterWives",2017-05-19,231306,41,true,menisadi,2025-12-15T20:17:44Z,"","Photo Finish / Republic Records",0.655,0.823,0,-4.28,1,0.0546,0.0196,0.0000914,0.546,0.622,111.007,4
spotify:track:4XosapYiYaXGcxc83p3DD9,"Everything Is Peaceful Love","SABLE, fABLE","Bon Iver",2025-04-11,210054,61,false,menisadi,2025-12-15T20:17:44Z,"","Jagjaguwar",0.587,0.859,7,-6.368,1,0.132,0.315,0.282,0.208,0.814,159.956,4
spotify:track:73pJ9jnsBhDIyXrIxlBKyZ,"Earthstar","Earthstar Mountain","Hannah Cohen",2025-03-28,243455,53,false,menisadi,2025-12-15T20:17:44Z,"","Bella Union",0.513,0.728,1,-8.563,0,0.0397,0.304,0.283,0.0786,0.479,152.006,4
spotify:track:2hitsKa8SthKhRJBXUHbIv,"Our House","Deja Vu","Crosby, Stills, Nash & Young",1970-03-11,179760,71,false,menisadi,2025-12-15T20:17:44Z,"folk rock,classic rock","Rhino Atlantic",0.592,0.205,9,-14.601,1,0.048,0.896,0.0000546,0.119,0.378,140.282,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga;Bruno Mars",2024-08-16,251667,92,false,menisadi,2025-12-15T20:17:44Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:1daDRI9ahBonbWD8YcxOIB,"Angels Like You","Plastic Hearts","Miley Cyrus",2020-11-27,196454,82,false,menisadi,2025-12-15T20:17:44Z,"","RCA Records Label",0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,80,true,menisadi,2025-12-15T20:17:44Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:7ne4VBA60CxGM75vw0EYad,"That’s So True","The Secret of Us (Deluxe)","Gracie Abrams",2024-10-18,166300,91,true,menisadi,2025-12-15T20:17:44Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
spotify:track:7gKxCvTDWwV9wBhdeBbr3l,"Nice To Each Other","Nice To Each Other","Olivia Dean",2025-05-30,209000,89,false,menisadi,2025-12-15T20:17:44Z,"pop soul","PLG - Capitol",0.761,0.737,0,-6.869,1,0.049,0.406,0.00166,0.364,0.738,131.998,4
spotify:track:6qGVKjUodwfWPg4ZzZiA6S,"Vodka Cranberry","Wishbone","Conan Gray",2025-08-14,245664,73,false,menisadi,2025-12-15T20:17:44Z,"","Republic Records",0.397,0.655,5,-5.268,1,0.0324,0.498,0.00000187,0.0831,0.449,185.801,4
