Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:77K5TB5KZmDZCoJCdd1NvE,"Famous Blue Raincoat","Songs Of Love And Hate","Leonard Cohen",1971-03-19,310773,10,false,menisadi,2025-12-15T20:17:44Z,"singer-songwriter","Columbia",0.474,0.0404,9,-22.208,0,0.0387,0.948,0.000263,0.111,0.18,119.415,3
spotify:track:6aqNCrRA7vs7v6QvRpI50t,"Dancing On My Own","Body Talk","Robyn",2010-01-01,285853,66,false,menisadi,2025-12-15T20:17:44Z,"swedish pop","Universal-Island Records Ltd.",0.674,0.857,6,-5.328,1,0.0346,0.0557,0.196,0.0942,0.278,117.028,4
spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp,"Scott Street","Stranger in the Alps","Phoebe Bridgers",2017-09-22,305000,79,true,menisadi,2025-12-15T20:17:44Z,"","Dead Oceans",0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,4
spotify:track:0ZNYGrmcehorhh9JOeg5Iv,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack","Stay Alive (From The Secret Life Of Walter Mitty)","José González",2013-01-01,266906,70,false,menisadi,2025-12-15T20:17:44Z,"indie folk","The Secret Life of Walter Mitty",0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,4
spotify:track:6dDxgfvM8pJm7AzmLZB1nN,"Such Great Heights","Around the Well","Iron & Wine",2009-05-19,251280,57,false,menisadi,2025-12-15T20:17:44Z,"indie folk","Sub Pop Records",0.611,0.275,6,-10.644,1,0.028,0.808,0.911,0.403,0.552,94.116,4
spotify:track:1Q27Qa4jaZ3AxS9fIBR0qA,"אתה כולם","אתה כולם","יוגב גלוסמן",2024-01-15,260350,32,false,menisadi,2025-12-15T20:17:44Z,"mizrahi","NaNa Disc",0.686,0.58,11,-9.07,0,0.0246,0.582,0.415,0.0898,0.659,109.42,4
spotify:track:38zsOOcu31XbbYj9BIPUF1,"Your Song","Elton John","Elton John",1970-04-10,241786,80,false,menisadi,2025-12-15T20:17:44Z,"","UMC (Universal Music Catalogue)",0.552,0.315,3,-11.028,1,0.0299,0.828,0.00000552,0.101,0.324,128.187,4
spotify:track:1Omt5bfz1tZUCqd26HxbS0,"Beyond","Good Thing","Leon Bridges",2018-05-04,240598,76,false,menisadi,2025-12-15T20:17:44Z,"retro soul","Columbia",0.581,0.687,6,-5.4,1,0.105,0.229,0,0.109,0.187,76.014,4
spotify:track:3hhbDnFUb2bicI2df6VurK,"River","Coming Home (Deluxe)","Leon Bridges",2015-06-23,238560,77,false,menisadi,2025-12-15T20:17:44Z,"retro soul","Columbia",0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4
spotify:track:77KubVuCAdtcU072UEdr3B,"שוב במדבר","עולם שלי","Alma Gov",2024-07-17,236069,41,false,menisadi,2025-12-15T20:17:44Z,"","Universal Music Israel Distributed Labels",0.441,0.409,8,-9.354,0,0.0321,0.915,0.00000156,0.104,0.249,98.067,4
